id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo
2fhOljbX79loRcdl47SFye,Moonlight on the River,0.43,2017,252,662,422613,478,0,833,9,216,-8631,1,81,0.0451,139.98
5TuTHrKzN6NweeQaKkBNb7,Relax,544,2016,0.0588,471,158573,881,0,0.000378,11,0.26,-4483,0,77,0.0467,169898
3HlK8txWAdtKMrbsqX40pl,Freaking Out the Neighborhood,847,2012,0.0638,565,173889,832,0,0.0288,8,386,-5751,0,78,108,143303
6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,572,2014,7.53e-06,559,213920,871,0,0.00545,5,96,-5338,0,91,0.0397,104.97
3VCXx37jNGNOMns6z2OnvJ,Swing Lynn,453,2012,0.0506,464,321438,945,0,756,2,112,-1815,1,76,0.0401,165177
7EkWXAI1wn8Ii883ecd9xr,Freaks,407,2021,3.84e-05,345,147062,941,0,633,9,0.0511,-9918,1,87,0.0466,179626
6LwYUSaVJLdTwrziHEUSxM,Japan,375,2019,137,667,174000,0.73,0,911,5,0.0706,-8411,1,0,0.0457,165834
11iIikXxC6NP0Ma8vMD27x,Alien Blues,433,2015,0.0807,467,155933,757,0,908,3,0.0876,-5093,1,84,33,82282
3IznIgmXtrUaoPWpQTy5jB,Not Allowed,563,2016,669,0.67,167864,905,1,0.000227,1,349,-6855,1,90,129,104965
0UV5zxRMz6AO4ZwUOZNIKI,Where'd All the Time Go?,575,2010,132,454,234800,0.82,0,0.000969,2,115,-4193,1,82,0.0567,166303
6jHvX8ZnHKC1PnrPMJ0Emt,Cigarette Daydreams,273,2013,0.0807,636,208760,676,0,0.0,2,0.0831,-3442,1,78,0.0263,113.98
2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,518,2015,0.00543,611,218107,797,0,0.00137,6,0.26,-7627,0,83,0.0533,120041
5euumi7eqEgmxvCIJw2pSp,Hot Rod,832,2019,0.0279,707,204014,768,0,0.000292,7,169,-7072,1,73,0.0323,139985
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),0.64,2019,156,682,178000,683,0,2.32e-05,8,273,-6444,0,84,0.0287,120023
