id,name,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,user
4OmfWzukSVD140NiAIEjem,Static,0.215,2022,0.434,0.335,156507,0.305,1,0.631,1,0.101,-12.661,1,79,0.0741,79.001,user_2
0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,0.39,2010,0.0447,0.247,198213,0.438,0,0.000867,5,0.111,-8.478,1,82,0.0358,185.711,user_2
2R4AlwtrrkMaRKojcTIzmL,For the First Time,0.521,2017,0.296,0.551,182307,0.529,0,0.0093,5,0.178,-10.469,0,86,0.0517,75.515,user_2
1ZgMsA55GIY7ICkQh5MILA,Space Song,0.6,2015,0.233,0.507,320467,0.79,0,0.139,0,0.145,-7.307,0,80,0.0294,147.065,user_2
0JXXNGljqupsJaZsgSbMZV,Sure Thing,0.498,2010,0.0267,0.684,195373,0.607,0,0.000307,11,0.191,-8.127,0,90,0.1,81.001,user_2
0725YWm6Z0TpZ6wrNk64Eb,Super Rich Kids,0.58,2012,0.219,0.739,304760,0.419,1,0.0,3,0.196,-8.241,0,80,0.0854,60.493,user_2
19YKaevk2bce4odJkP5L22,Nikes,0.123,2016,0.692,0.633,314075,0.395,1,0.000222,8,0.108,-9.638,1,74,0.0857,138.023,user_2
6KuXb26rHuRy3ZDse1VRmx,Where This Flower Blooms (feat. Frank Ocean),0.27,2017,0.71,0.686,194933,0.429,1,3.41e-06,8,0.166,-10.402,0,73,0.15,130.09,user_2
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,0.37,2017,0.0786,0.665,275253,0.535,1,1.68e-05,4,0.154,-7.056,0,86,0.0572,138.842,user_2
4kJT7Yj6Za01KfKHjb7mZE,Fall in Love with You.,0.103,2022,0.92,0.538,132000,0.0203,0,0.019,4,0.104,-23.163,1,83,0.0437,121.447,user_2
6Nle9hKrkL1wQpwNfEkxjh,Chanel,0.473,2017,0.874,0.776,210285,0.503,1,0.0,0,0.112,-5.732,0,80,0.237,110.134,user_2
1Adhz5VVDZxhojOLfQQUxa,Not Around,0.235,2019,0.333,0.499,183920,0.695,1,2.85e-06,6,0.659,-9.452,1,74,0.113,131.006,user_2
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,0.516,2019,0.449,0.453,204533,0.538,1,0.0,1,0.19,-8.212,1,73,0.0638,122.973,user_2
2GThBgzZoZfz0lx1JjBwfe,Those Eyes,0.243,2019,0.727,0.597,220750,0.351,0,3.86e-05,4,0.319,-8.043,1,3,0.0281,119.948,user_2
4pH8cIlMI9NrTWcDiQbuRe,Miss You - Sped Up Version,0.283,2022,0.0141,0.527,171702,0.66,1,0.0185,0,0.156,-10.692,1,68,0.0877,173.979,user_2
0MnTkIEP4zZN1IUSu8MvIz,Tek It - Sped Up,0.377,2019,9.93e-05,0.348,166859,0.95,0,9.68e-06,10,0.0868,-5.049,0,81,0.124,168.964,user_2
7mLWNwcvwRdEviz6SfYp8A,GigaChad Theme - Phonk House Version,0.582,2022,0.00166,0.588,146274,0.496,0,0.936,9,0.186,-5.947,1,80,0.0417,128.001,user_2
37F7E7BKEw2E4O2L7u0IEp,Limbo,0.457,2022,0.0292,0.802,169947,0.623,1,0.055,11,0.113,-5.862,0,79,0.459,74.987,user_2
5V5BHmvpylV0nSc2Yu2Mu4,All Alone,0.813,2019,0.0384,0.69,174250,0.88,0,0.502,1,0.126,-3.525,1,70,0.284,159.933,user_2
5RBOcBpJXaNnHCGViJmYhh,The Perfect Girl,0.258,2021,0.000872,0.485,194423,0.89,0,0.818,8,0.102,-5.992,0,82,0.0911,128.881,user_2
0zCgWGmDF0aih5qexATyBn,After Dark,0.0392,2014,0.0673,0.579,257147,0.601,0,0.414,8,0.0778,-10.492,1,2,0.0322,140.019,user_2
01kfSdF9zfcDLri5sSWEoL,RAVE,0.338,2022,0.235,0.716,169245,0.748,0,0.849,8,0.114,-6.06,1,81,0.0356,119.918,user_2
6qyS9qBy0mEk3qYaH8mPss,Murder In My Mind,0.568,2022,0.00547,0.712,145000,0.972,1,7.06e-05,10,0.128,-0.514,1,85,0.112,119.966,user_2
2Y0UZPGlJZMxVLbL9mGyvQ,sleepwalker,0.298,2019,0.0986,0.685,206718,0.466,0,0.00291,8,0.0862,-9.07,1,34,0.0271,95.99,user_2
4IlqQhaxrGPxmg35YcXXuS,Dancin - Krono Remix,0.28,2019,0.0442,0.751,256000,0.727,0,0.0338,10,0.1,-9.789,0,77,0.0304,119.982,user_2
2PsjiKghYKF3k13NOIiFFW,Pretty Ugly,0.379,2018,0.215,0.941,60000,0.651,0,1.21e-05,0,0.121,-8.179,1,58,0.109,109.908,user_2
12ILYlOEfWL8ei0BEgFJn0,N Side,0.894,2019,0.0714,0.838,224444,0.535,0,0.000302,11,0.208,-6.303,0,75,0.0432,119.946,user_2
0tkgmjBMU6qSxolAKB3f2H,MERCEDES,0.519,2021,0.0951,0.547,233070,0.619,1,2.62e-06,3,0.0716,-6.485,0,69,0.132,76.285,user_2
3gHB1Jhz2rYrLsqr5Cz0Dq,Voices Of Spring,0.681,2012,0.987,0.41,194867,0.126,0,0.953,10,0.167,-14.076,1,22,0.0337,100.472,user_3
0ROMalDdNg3L2HoZP4qFyJ,"The Four Seasons: Concerto No. 4 in F Minor, RV 297 ""L'inverno"" (winter): I. Allegro non molto",0.394,2015,0.818,0.4,201853,0.247,0,0.64,5,0.119,-18.249,0,67,0.0423,162.078,user_3
2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",0.071,1976,0.911,0.136,166867,0.164,0,0.916,4,0.109,-18.756,0,72,0.0364,58.303,user_3
0CJuLeZpCdqrqoCMXWZw8k,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",0.113,2010,0.944,0.149,415813,0.128,0,0.928,2,0.0703,-20.459,1,62,0.0462,47.362,user_3
6kHWawEbq5Vcyp8nSHhGjs,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 12d, Divertissement. Trepak, Russian Dance",0.851,2010,0.919,0.395,69120,0.5,0,0.667,7,0.091,-15.975,1,51,0.0442,157.195,user_3
6OC0v9yU90ME5DW2o1skKr,"Mozart: Symphony No. 40 in G Minor, K. 550: I. Molto allegro",0.214,1990,0.975,0.355,432546,0.188,0,0.859,7,0.122,-18.089,0,55,0.0369,113.537,user_3
1Ojz92vyPK4fJ5K8RVnV5u,"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto",0.468,2015,0.83,0.34,167880,0.489,0,0.91,7,0.141,-15.316,1,68,0.0412,157.024,user_3
