Titolo,ID,Durata,Spotify URL,URI,Album
BABY NUEVA,3NhstUmrlhaN1M6hP8zMbb,4.01,"<a href=""https://open.spotify.com/track/3NhstUmrlhaN1M6hP8zMbb"" target=""_blank"">https://open.spotify.com/track/3NhstUmrlhaN1M6hP8zMbb</a>",3NhstUmrlhaN1M6hP8zMbb,nadie sabe lo que va a pasar mañana
MERCEDES CAROTA,3TYOH7ta0101NYssoH5GlU,3.38,"<a href=""https://open.spotify.com/track/3TYOH7ta0101NYssoH5GlU"" target=""_blank"">https://open.spotify.com/track/3TYOH7ta0101NYssoH5GlU</a>",3TYOH7ta0101NYssoH5GlU,nadie sabe lo que va a pasar mañana
LOS PITS,7ucEkWU0SVy0XFdfXESgfY,4.18,"<a href=""https://open.spotify.com/track/7ucEkWU0SVy0XFdfXESgfY"" target=""_blank"">https://open.spotify.com/track/7ucEkWU0SVy0XFdfXESgfY</a>",7ucEkWU0SVy0XFdfXESgfY,nadie sabe lo que va a pasar mañana
VUELVE CANDY B,3mRF0YNsDdFKFnxwg16hSz,4.44,"<a href=""https://open.spotify.com/track/3mRF0YNsDdFKFnxwg16hSz"" target=""_blank"">https://open.spotify.com/track/3mRF0YNsDdFKFnxwg16hSz</a>",3mRF0YNsDdFKFnxwg16hSz,nadie sabe lo que va a pasar mañana
BATICANO,5qzLdvRViHUrRNdkpakG7C,4.27,"<a href=""https://open.spotify.com/track/5qzLdvRViHUrRNdkpakG7C"" target=""_blank"">https://open.spotify.com/track/5qzLdvRViHUrRNdkpakG7C</a>",5qzLdvRViHUrRNdkpakG7C,nadie sabe lo que va a pasar mañana
NO ME QUIERO CASAR,39L3LdlHS3gqB62HPWaJRg,3.76,"<a href=""https://open.spotify.com/track/39L3LdlHS3gqB62HPWaJRg"" target=""_blank"">https://open.spotify.com/track/39L3LdlHS3gqB62HPWaJRg</a>",39L3LdlHS3gqB62HPWaJRg,nadie sabe lo que va a pasar mañana
WHERE SHE GOES,2sTDlCxmuZCTDKKk9f1qus,3.86,"<a href=""https://open.spotify.com/track/2sTDlCxmuZCTDKKk9f1qus"" target=""_blank"">https://open.spotify.com/track/2sTDlCxmuZCTDKKk9f1qus</a>",2sTDlCxmuZCTDKKk9f1qus,nadie sabe lo que va a pasar mañana
THUNDER Y LIGHTNING,4pcafPzLDSqQktqSpxHL3E,3.62,"<a href=""https://open.spotify.com/track/4pcafPzLDSqQktqSpxHL3E"" target=""_blank"">https://open.spotify.com/track/4pcafPzLDSqQktqSpxHL3E</a>",4pcafPzLDSqQktqSpxHL3E,nadie sabe lo que va a pasar mañana
PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,2.71,"<a href=""https://open.spotify.com/track/7iQXYTyuG13aoeHxGG28Nh"" target=""_blank"">https://open.spotify.com/track/7iQXYTyuG13aoeHxGG28Nh</a>",7iQXYTyuG13aoeHxGG28Nh,nadie sabe lo que va a pasar mañana
EUROPA :(,6vh4S1z08AjGipGAEsV62e,0.2,"<a href=""https://open.spotify.com/track/6vh4S1z08AjGipGAEsV62e"" target=""_blank"">https://open.spotify.com/track/6vh4S1z08AjGipGAEsV62e</a>",6vh4S1z08AjGipGAEsV62e,nadie sabe lo que va a pasar mañana
Moscow Mule,6Xom58OOXk2SoU711L2IXO,4.1,"<a href=""https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO"" target=""_blank"">https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO</a>",6Xom58OOXk2SoU711L2IXO,Un Verano Sin Ti
Después de la Playa,1dm6z1fWB0cErMszU25dy2,3.84,"<a href=""https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2"" target=""_blank"">https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2</a>",1dm6z1fWB0cErMszU25dy2,Un Verano Sin Ti
Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,2.98,"<a href=""https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx"" target=""_blank"">https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx</a>",6Sq7ltF9Qa7SNFBsV5Cogx,Un Verano Sin Ti
Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,4.06,"<a href=""https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ"" target=""_blank"">https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ</a>",1IHWl5LamUGEuP4ozKQSXZ,Un Verano Sin Ti
Un Ratito,5CzixCxDkRXX9mScCmah8O,2.95,"<a href=""https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O"" target=""_blank"">https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O</a>",5CzixCxDkRXX9mScCmah8O,Un Verano Sin Ti
Yo No Soy Celoso,5kVZxyMY1gfdCLiChsfjn1,3.85,"<a href=""https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1"" target=""_blank"">https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1</a>",5kVZxyMY1gfdCLiChsfjn1,Un Verano Sin Ti
Tarot,41oY4WCTj5kccfesTVFnvN,3.96,"<a href=""https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN"" target=""_blank"">https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN</a>",41oY4WCTj5kccfesTVFnvN,Un Verano Sin Ti
Neverita,31i56LZnwE6uSu3exoHjtB,2.89,"<a href=""https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB"" target=""_blank"">https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB</a>",31i56LZnwE6uSu3exoHjtB,Un Verano Sin Ti
La Corriente,1797zYiX4cKosMH836X9Gt,3.31,"<a href=""https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt"" target=""_blank"">https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt</a>",1797zYiX4cKosMH836X9Gt,Un Verano Sin Ti
Efecto,5Eax0qFko2dh7Rl2lYs3bx,3.55,"<a href=""https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx"" target=""_blank"">https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx</a>",5Eax0qFko2dh7Rl2lYs3bx,Un Verano Sin Ti
Party,4tYFy8ALRjIZvnvSLw5lxN,3.79,"<a href=""https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN"" target=""_blank"">https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN</a>",4tYFy8ALRjIZvnvSLw5lxN,Un Verano Sin Ti
Aguacero,2uflssWlCaJ6CbTMOsUpNI,3.52,"<a href=""https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI"" target=""_blank"">https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI</a>",2uflssWlCaJ6CbTMOsUpNI,Un Verano Sin Ti
Enséñame a Bailar,2NMjggapJcXXM7WccGEBUO,2.93,"<a href=""https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO"" target=""_blank"">https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO</a>",2NMjggapJcXXM7WccGEBUO,Un Verano Sin Ti
Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,4.3,"<a href=""https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW"" target=""_blank"">https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW</a>",3k3NWokhRRkEPhCzPmV8TW,Un Verano Sin Ti
Dos Mil 16,4d4ZXH4dr5bYfgErHiZCX2,3.48,"<a href=""https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2"" target=""_blank"">https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2</a>",4d4ZXH4dr5bYfgErHiZCX2,Un Verano Sin Ti
El Apagón,0UvZcEfpzVyx47QsRbjyBz,3.36,"<a href=""https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz"" target=""_blank"">https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz</a>",0UvZcEfpzVyx47QsRbjyBz,Un Verano Sin Ti
Otro Atardecer,0E0DRHf5PfMeor0ZCwB3oT,4.07,"<a href=""https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT"" target=""_blank"">https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT</a>",0E0DRHf5PfMeor0ZCwB3oT,Un Verano Sin Ti
